MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
24094392,FLTHOME,RES,FIXER,1125.05,229 N Bridgeton RD,Portland,97217,$141 ,0,1,1,384,49,39,"0-2,999SF",2/11/2024,1,,2/10/2024,"$19,000 ",2/21/2024,"$15,000 ",1960,,0,0,CASH
24585502,IN-PARK,RES,RESALE,500,1503 N HAYDEN ISLAND DR #50,Portland,97217,141,2,1,1,672,37,38,"0-2,999SF",3/15/2024,3,3,3/12/2024,"$25,000 ",4/4/2024,"$26,000 ",1970,,0,,CASH
755197545,IN-PARK,RES,FIXER,0,12335 N SOUTH SHORE AVE,Portland,97217,$141 ,2,2,1,1248,22,22,"0-2,999SF",4/24/2025,6,6,4/18/2025,"$28,500 ",6/1/2025,"$28,500 ",1975,,3,,CASH
24597666,IN-PARK,RES,REMOD,0,1501 N HAYDEN ISLAND DR #121e,Portland,97217,141,2,1,1,580,86,77,"0-2,999SF",8/31/2024,148,148,4/5/2024,"$49,985 ",9/18/2024,"$45,000 ",1966,,2,,"CASH, CONV"
534808277,IN-PARK,RES,RESALE,0,12405 N SOUTH SHORE AVE,Portland,97217,$141 ,2,2,1,924,50,50,"0-2,999SF",3/8/2025,29,96,2/7/2025,"$46,999 ",3/21/2025,"$46,999 ",1979,,0,,"CASH, OTHER"
23488027,IN-PARK,RES,REMOD,0,1501 N HAYDEN ISLAND DR #59c,Portland,97217,141,2,1,1,826,54,56,"0-2,999SF",6/27/2023,4,4,6/23/2023,"$44,985 ",8/10/2023,"$47,000 ",1980,,2,,"CONV, FCS"
24321855,IN-PARK,RES,REMOD,0,12391 N WESTSHORE DR,Portland,97217,$141 ,2,1,1,768,71,66,"0-2,999SF",6/3/2024,59,207,4/5/2024,"$55,000 ",7/17/2024,"$51,000 ",1970,,0,,"CASH, CONV"
24517559,IN-PARK,RES,REMOD,0,12625 N SCOULER AVE,Portland,97217,141,2,2,1,924,64,56,"0-2,999SF",4/15/2024,102,102,1/4/2024,"$59,985 ",5/1/2024,"$52,000 ",1976,1041,3,,CASH
24117014,FLTHOME,RES,FIXER,1620,1811 N Jantzen AVE,Portland,97217,$141 ,2,1,1,900,127,62,"0-2,999SF",12/19/2024,34,,11/15/2024,"$115,000 ",12/31/2024,"$56,000 ",1976,480,0,1,CASH
24180573,IN-PARK,RES,RESALE,0,12405 N SOUTH SHORE AVE,Portland,97217,141,2,2,1,924,52,62,"0-2,999SF",6/25/2024,34,34,5/22/2024,"$48,900 ",7/11/2024,"$58,000 ",1979,,0,,"CASH, OTHER"
23314916,IN-PARK,RES,RESALE,0,12232 N WESTSHORE DR,Portland,97217,$141 ,2,1,1,1112,67,58,"0-2,999SF",6/7/2023,34,281,5/4/2023,"$75,000 ",7/14/2023,"$65,000 ",1974,,0,,"CASH, CONV"
24158686,IN-PARK,RES,APPROX,0,12452 N WESTSHORE DR,Portland,97217,141,2,2,1,1248,68,58,"0-2,999SF",5/30/2024,69,183,3/22/2024,"$85,999 ",6/25/2024,"$73,000 ",1978,,0,,"CASH, CONV"
24171778,IN-PARK,RES,RESALE,80145.85,2020 N MIDDLE SHORE ST,Portland,97217,$141 ,2,1,1,924,85,81,"0-2,999SF",4/20/2024,21,21,3/30/2024,"$79,000 ",5/28/2024,"$75,000 ",1977,,3,,"CALL-SA, CASH"
24045636,IN-PARK,RES,RESALE,15,1503 N HAYDEN ISLAND DR #242,Portland,97217,141,2,2,1,1200,79,70,"0-2,999SF",7/8/2024,41,41,5/28/2024,"$95,000 ",8/19/2024,"$85,000 ",1969,789,0,0,CASH
23158897,IN-PARK,RES,RESALE,0,1503 N HAYDEN ISLAND DR #101,Portland,97217,$141 ,3,2,1,1344,74,70,"0-2,999SF",12/3/2023,127,127,7/29/2023,"$99,985 ",3/5/2024,"$95,000 ",1999,828,2,,"CASH, CONV"
770054568,IN-PARK,RES,RESALE,0,1501 N HAYDEN ISLAND DR #26a,Portland,97217,141,3,2,1,1109,88,85,"0-2,999SF",5/30/2025,46,46,4/14/2025,"$98,500 ",6/24/2025,"$95,000 ",2006,,2,,"CASH, CONV"
230213254,IN-PARK,RES,RESALE,0,12450 N South Shore AVE,Portland,97217,$141 ,2,2,1,1344,73,71,"0-2,999SF",4/23/2025,3,3,4/20/2025,"$98,500 ",5/19/2025,"$96,500 ",1974,,3,,CASH
24546347,FLTHOME,RES,RESALE,0,1621 N Jantzen AVE,Portland,97217,141,0,0.1,1,900,127,111,"0-2,999SF",5/17/2024,19,,4/28/2024,"$115,000 ",5/30/2024,"$100,000 ",1970,480,0,,CASH
24204341,IN-PARK,RES,RESALE,0,1501 N HAYDEN ISLAND DR #113e,Portland,97217,$141 ,3,2,1,1404,77,78,"0-2,999SF",3/4/2025,82,82,12/12/2024,"$109,000 ",4/21/2025,"$110,000 ",2003,,2,,"CASH, CONV"
24536838,IN-PARK,RES,RESALE,0,2320 N BROUGHTON DR,Portland,97217,141,3,2,1,1440,83,77,"0-2,999SF",11/8/2024,227,343,3/26/2024,"$120,000 ",11/22/2024,"$111,475 ",1976,,0,0,"CASH, CONV"
23106662,IN-PARK,RES,RESALE,1170.46,1503 N HAYDEN ISLAND DR #43,Portland,97217,$141 ,3,2,1,1404,85,81,"0-2,999SF",4/7/2024,140,140,11/19/2023,"$119,900 ",5/8/2024,"$115,000 ",2007,,0,,"CASH, CONV"
24070427,FLTHOME,RES,FIXER,2300,1647 N Jantzen AVE D-M,Portland,97217,141,1,1,1,1260,103,103,"0-2,999SF",7/26/2024,71,,5/16/2024,"$129,900 ",8/13/2024,"$129,950 ",1960,480,0,,CASH
23533174,FLTHOME,RES,RESALE,2002.53,1533 N Jantzen AVE,Portland,97217,$141 ,2,2,1,1368,108,97,"0-2,999SF",12/8/2023,197,,5/25/2023,"$149,000 ",1/5/2024,"$133,000 ",1970,400,0,1,CASH
23227337,FLTHOME,RES,RESALE,1634.75,221 N Bridgeton RD,Portland,97217,141,0,1,1,308,438,438,"0-2,999SF",11/27/2023,118,,8/1/2023,"$135,000 ",1/30/2024,"$135,000 ",1992,,0,0,CASH
24198285,IN-PARK,RES,REMOD,193.64,1503 N HAYDEN ISLAND DR #45,Portland,97217,$141 ,3,2,1,1404,92,96,"0-2,999SF",6/11/2024,143,143,1/20/2024,"$130,000 ",7/3/2024,"$135,000 ",2004,,0,,"CASH, CONV"
24306689,IN-PARK,RES,RESALE,0,1503 N HAYDEN ISLAND DR #15,Portland,97217,141,3,2,1,1152,121,119,"0-2,999SF",8/29/2024,181,181,3/1/2024,"$139,400 ",9/30/2024,"$137,400 ",1978,,0,0,"CASH, CONV"
24282572,IN-PARK,RES,RESALE,0,1501 N HAYDEN ISLAND DR #42B,Portland,97217,$141 ,2,2,1,1080,128,128,"0-2,999SF",12/6/2024,5,5,12/1/2024,"$138,500 ",12/27/2024,"$138,500 ",1968,,2,1,CASH
24437157,IN-PARK,RES,REMOD,0,1503 N HAYDEN ISLAND DR #35,Portland,97217,141,2,2.1,1,1500,98,96,"0-2,999SF",12/4/2024,79,79,9/16/2024,"$147,000 ",12/30/2024,"$144,500 ",1973,,0,,"CONV, FHA"
503252559,IN-PARK,RES,REMOD,599,2201 N MENZIES DR,Portland,97217,$141 ,2,2,1,1501,113,101,"0-2,999SF",5/19/2025,132,132,1/7/2025,"$170,000 ",5/30/2025,"$153,000 ",1976,1400,0,,"CASH, CONV"
23308775,FLTHOME,RES,FIXER,2026,1717 N Jantzen Ave,Portland,97217,141,1,1,1,600,330,256,"0-2,999SF",7/8/2023,20,,6/18/2023,"$198,000 ",7/21/2023,"$154,000 ",1970,400,0,,CASH
235960293,CONDO,RES,RESALE,3540.8,11926 N JANTZEN BEACH AVE,Portland,97217,$141 ,2,1.1,2,1088,165,147,,2/10/2025,11,11,1/30/2025,"$179,777 ",2/28/2025,"$160,000 ",1972,560,0,,"CASH, CONV, FHA, VA"
23462199,FLTHOME,RES,REMOD,1987,12050 N Jantzen DR,Portland,97217,141,1,1,2,600,291,275,"0-2,999SF",8/5/2023,112,,4/15/2023,"$175,000 ",8/31/2023,"$165,000 ",1960,,0,,"CASH, CONV"
23492581,CONDO,RES,NEW,1500,1400 N Kilpartick #209,Portland,97217,$141 ,2,1,1,764,217,217,,8/15/2023,145,,3/23/2023,"$166,000 ",9/28/2023,"$166,000 ",2022,253,0,,CONV
23629311,CONDO,RES,NEW,1500,1480 N Kilpatrick ST #104,Portland,97217,141,2,1,1,764,217,217,,7/20/2023,84,,4/27/2023,"$166,000 ",8/29/2023,"$166,000 ",2021,233,0,,CONV
24081276,DETACHD,RES,RESALE,2195.67,9310 N WOOLSEY AVE,Portland,97203,$141 ,2,1,1,944,199,199,"0-2,999SF",5/23/2024,28,28,4/25/2024,"$188,431 ",6/28/2024,"$188,431 ",2007,112,1,,CONV
23584033,CONDO,RES,RESALE,2314.03,9333 N LOMBARD ST #1,Portland,97203,141,1,1,1,591,319,319,,9/30/2023,2,2,9/28/2023,"$189,000 ",10/31/2023,"$189,000 ",1963,263,1,,"CONV, FHA, VA"
24027539,CONDO,RES,RESALE,2294.26,453 N HAYDEN BAY DR,Portland,97217,$141 ,1,1,1,608,310,310,,3/3/2025,206,206,8/9/2024,"$189,000 ",3/31/2025,"$189,000 ",1973,248,0,,"CASH, CONV, VA"
23022132,CONDO,RES,NEW,689.47,7360 N ATLANTIC AVE #2,Portland,97217,141,1,1,1,482,414,399,,9/12/2023,125,176,5/10/2023,"$199,800 ",10/11/2023,"$192,400 ",2023,123,0,,"CASH, CONV, FHA, VA"
23090229,CONDO,RES,RESALE,2474.19,9333 N LOMBARD ST #3,Portland,97203,$141 ,1,1,1,587,347,332,,4/11/2024,83,83,1/19/2024,"$203,900 ",5/3/2024,"$195,000 ",1963,279,0,,"CASH, CONV, FHA"
23391616,CONDO,RES,RESALE,2184.48,466 N HAYDEN ISLAND DR #106,Portland,97217,141,1,1,1,597,326,326,,7/31/2023,5,5,7/26/2023,"$195,000 ",8/15/2023,"$195,000 ",1973,225,0,0,"CASH, CONV, FHA, VA"
24154590,ATTACHD,RES,FIXER,2956.96,2723 N HOUGHTON ST,Portland,97217,$141 ,2,1,1,1467,135,132,"5K-6,999SF",4/26/2024,89,89,1/28/2024,"$199,000 ",6/5/2024,"$195,000 ",1912,,0,0,"CASH, REHAB"
24118788,CONDO,RES,RESALE,2294.26,403 N HAYDEN BAY DR #93,Portland,97217,141,1,1,1,608,328,321,,3/28/2024,35,35,2/22/2024,"$200,000 ",5/7/2024,"$195,500 ",1973,248,0,0,"CASH, CONV, FHA"
23646504,CONDO,RES,RESALE,3192.78,7112 N RICHMOND AVE #11,Portland,97203,$141 ,2,1,1,667,337,299,,10/3/2023,81,81,7/14/2023,"$225,000 ",10/27/2023,"$200,000 ",1970,375,0,0,"CASH, CONV"
298287604,CONDO,RES,REMOD,2052,708 N KILLINGSWORTH ST #1,Portland,97217,141,0,1,1,381,530,530,,2/24/2025,1,56,2/23/2025,"$201,999 ",4/9/2025,"$201,999 ",1913,134,0,0,"CASH, CONV"
24464473,CONDO,RES,APPROX,5045.8,1455 N KILLINGSWORTH ST #412,Portland,97217,141,1,1,1,676,303,303,,2/24/2025,397,397,1/24/2024,"$205,000 ",3/6/2025,"$205,000 ",2012,462,0,,"CASH, CONV, FHA, VA"
23548935,CONDO,RES,RESALE,2299.35,9333 N LOMBARD ST #25,Portland,97203,141,1,1,1,583,360,353,,1/14/2024,86,145,10/20/2023,"$210,000 ",2/8/2024,"$206,000 ",1963,263,0,,"CASH, CONV"
23697742,DETACHD,RES,FIXER,3337.77,2525 N LOMBARD ST,Portland,97217,141,2,1,2,1909,121,107,"3K-4,999SF",11/29/2023,29,526,10/31/2023,"$232,750 ",12/18/2023,"$206,000 ",1926,,1,,"CASH, REHAB"
24007167,CONDO,RES,RESALE,2994.36,8833 N Syracuse #8,Portland,97203,141,2,1,1,720,298,288,,2/26/2024,54,54,1/3/2024,"$215,000 ",3/26/2024,"$207,500 ",1969,348,0,,"CASH, CONV"
669884518,CONDO,RES,RESALE,3317.14,1411 N ALBERTA ST #5,Portland,97217,141,1,1,1,525,395,395,,1/15/2025,6,6,1/9/2025,"$207,500 ",2/7/2025,"$207,500 ",1945,269,0,0,"CASH, CONV"
24591649,CONDO,RES,RESALE,3006.8,8833 N SYRACUSE ST #10,Portland,97203,$141 ,2,1,1,727,295,288,,5/29/2024,29,29,4/30/2024,"$215,000 ",6/20/2024,"$209,500 ",1969,375,0,,"CASH, CONV, FHA, VA"
24601163,CONDO,RES,RESALE,2749.49,6716 N PITTSBURG AVE,Portland,97203,141,1,1,1,571,385,373,,2/5/2025,138,138,9/20/2024,"$220,000 ",3/10/2025,"$213,000 ",2007,237,0,,"CASH, CONV"
23233030,CONDO,RES,RESALE,2408.3,9333 N LOMBARD ST #17,Portland,97203,$141 ,1,1,1,587,369,369,,6/13/2023,14,68,5/30/2023,"$217,000 ",7/12/2023,"$217,000 ",1963,263,1,,"CASH, CONV, VA"
24192921,CONDO,RES,RESALE,2673.96,6912 N PHILADELPHIA AVE,Portland,97203,141,2,1,1,734,298,295,,10/31/2024,8,202,10/23/2024,"$219,000 ",11/26/2024,"$217,000 ",1970,282,0,1,"CASH, CONV"
